6.505,8.3091,6.4844,9.2197,7.9132,10.7573,6.0293,6.6555,5.5086,7.2316,6.0528,8.8942,8.8049,5.6977,5.6093,7.6811,7.7953,9.8838,7.1425,7.1802,5.7596,6.8342,6.2371,6.0408,6.6855,5.4326,8.4649,6.0994,8.7819,10.5174,3
10.9369,7.3515,7.0714,7.9912,7.8491,8.3377,6.3724,6.3802,7.8026,7.3515,8.5371,10.1849,7.539,6.0235,5.9081,8.5254,6.0646,10.5812,6.0974,8.124,7.126,7.7945,7.5955,6.4335,7.5926,8.1544,6.8737,9.5091,10.1125,9.947,2
5.9101,7.4915,6.3046,8.2857,8.703,9.8518,5.8394,6.2463,5.3903,6.952,7.0014,5.852,11.604,5.5571,5.532,7.6826,8.2406,9.9532,6.5037,7.795,6.4764,6.7476,5.8926,6.1345,7.0526,5.5354,8.5692,5.8875,6.7579,10.8437,3
10.976,7.5466,8.5707,8.0377,7.375,8.5138,6.3137,6.366,7.2614,8.727,9.3347,10.7271,7.2733,5.9034,5.7542,8.9254,6.4111,10.2144,5.9007,7.8859,6.7845,7.4729,7.5304,6.551,7.4278,7.4989,7.4075,9.966,10.8233,10.1236,2
8.2567,8.1775,6.9688,9.006,7.8298,9.163,6.0849,6.1234,8.2397,7.4604,7.5833,9.6388,8.2167,7.7739,5.8527,8.5296,8.2913,10.4618,6.1351,8.0151,6.0754,6.8489,6.5391,5.9735,7.1061,6.933,7.7041,8.2599,10.6155,10.2446,3
6.1477,7.7491,6.0323,7.8781,8.2475,10.3915,6.048,5.9674,7.2197,7.2958,7.1713,8.8998,10.6045,5.3591,5.6241,7.6295,7.8054,10.2814,6.5644,6.8685,7.5833,7.1339,6.2647,6.0974,7.2377,5.6482,7.7039,7.0485,10.4675,10.1722,3
9.3175,7.4714,7.5718,8.2233,7.3325,9.2054,6.2135,6.2306,6.0164,6.9391,7.7056,10.1125,7.7114,6.3341,5.9743,8.9538,6.419,10.8437,6.6252,8.1668,6.6922,7.1078,6.4804,6.1862,7.6865,7.7228,7.1812,9.1523,8.6746,10.1042,2
10.2061,7.4492,7.4685,8.4113,7.2987,8.4869,6.3419,6.1387,7.6332,8.0345,8.1624,10.7573,7.3899,7.5214,5.7665,8.7747,6.5962,10.5174,5.9666,8.6628,7.5651,7.5099,6.9699,5.8996,7.2211,7.7971,6.7361,8.5192,9.3426,9.9791,2
5.9429,8.0035,6.4447,7.7871,7.7902,9.1947,5.9263,5.9212,5.5156,6.8511,7.2616,6.0169,8.1802,5.6802,5.8061,7.7384,7.295,10.4065,5.829,7.8923,6.6383,7.4503,5.8379,5.9453,7.422,5.8469,7.5501,6.9794,8.1544,10.2814,3
8.6838,7.2826,7.0659,7.8849,7.432,7.98,6.3222,6.4764,9.3025,7.9123,8.3036,9.8423,7.8713,6.7058,5.7628,8.8931,5.9306,10.5339,5.8029,7.7502,7.4468,7.4,7.5373,5.7873,7.1633,7.364,7.1244,9.0271,11.0301,10.197,2
9.7392,7.6282,7.5194,8.2276,7.3933,9.7719,6.5095,5.8616,5.9907,8.5808,8.4177,11.475,6.683,8.1086,6.1817,9.7632,7.7134,10.718,6.4077,7.8023,6.3812,6.9598,7.0731,6.0041,7.7629,6.9257,7.1903,10.4408,11.3401,10.9298,3
9.8423,7.9505,7.1917,8.3768,7.3448,8.8369,6.2316,6.0871,7.7327,8.5645,8.4852,10.1042,7.5798,8.2557,6.0977,8.5702,6.8723,10.6618,6.4167,7.9678,7.3005,7.452,7.2024,5.9669,7.4702,7.6498,7.3487,8.8026,9.692,9.9569,2
10.6502,7.1692,8.1743,8.1455,7.1318,8.4912,6.5575,6.4113,9.1615,9.2759,8.8015,10.718,8.0771,7.7151,6.0187,9.8339,6.0715,11.1399,5.7202,9.0743,8.2028,7.4989,7.4433,6.2088,8.2268,9.1028,7.0968,9.8026,10.4573,9.8491,2
9.8969,7.2688,9.4137,7.5677,7.0317,8.8055,7.245,6.5472,6.1172,8.9951,7.606,10.1439,7.6854,8.1177,6.1621,9.4879,5.8158,11.2407,6.1017,8.4335,6.6528,7.5335,8.1201,6.5262,8.6085,9.006,7.2978,10.2407,8.7432,9.3475,2
